gamename,metacritic,reccount,IsFree,PCRECs,Price
18 Wheels of Steel: American Long Haul,0,272,False,True,9.99
Hunting Unlimited(tm) 2008,0,0,False,True,9.99
Mahjongg Investigations: Under Suspicion,0,0,False,True,9.99
Ride! Carnival Tycoon,0,0,False,True,9.99
Hot Dish,0,0,False,True,9.99
Dr. Daisy Pet Vet,0,0,False,True,9.99
Sprint Cars Road to Knoxville,0,0,False,True,9.99
Midnight Outlaw: 6 Hours to SunUp,0,0,False,True,9.99
Legend - Hand of God,57,0,False,True,9.99
Drakensang,75,148,False,True,9.99
Fetch It Again,0,0,False,True,6.99
Miss Popularity,0,0,False,True,6.99
Mission Runway,0,0,False,True,9.99
Hunting Unlimited 2010,0,120,False,True,9.99
Overlord(tm): Raising Hell,0,623,False,True,9.99
GRID(tm),87,2893,False,True,14.99
Rise of the Argonauts,59,375,False,True,9.99
Damnation,41,239,False,True,9.99
Overlord II,79,1349,False,True,9.99
Operation Flashpoint: Dragon Rising,76,1084,False,True,9.99
AudioSurf,85,8181,False,True,9.99
Ninja Reflex: Steamworks Edition,57,0,False,True,4.99
Americas Army 3,70,2053,True,True,0.0
Unreal 2: The Awakening,75,188,False,True,14.99
Unreal Tournament 3 Black,83,1888,False,True,19.99
Unreal Tournament 2004: Editors Choice Edition,93,1318,False,True,14.99
Unreal Tournament: Game of the Year Edition,92,1140,False,True,9.99
Unreal Gold,0,418,False,True,9.99
Prince of Persia: Warrior Within(tm),83,396,False,True,9.99
Far Cry(r),89,2318,False,True,9.99
Prince of Persia: The Two Thrones(tm),85,237,False,True,9.99
Tom Clancys Rainbow Six(r) Vegas,85,260,False,True,9.99
Tom Clancys Splinter Cell(r),91,586,False,True,9.99
Tom Clancys Splinter Cell Chaos Theory(r),92,1230,False,True,9.99
Tom Clancys Splinter Cell Double Agent(r),80,492,False,True,9.99
Prince of Persia(r): The Sands of Time,89,558,False,True,9.99
Tom Clancys Ghost Recon(r) Desert Siege(tm),82,0,False,True,4.99
Tom Clancys Ghost Recon(r) Island Thunder(tm),82,0,False,True,4.99
Tom Clancys Rainbow Six Lockdown(tm),59,110,False,True,9.99
Rayman Raving Rabbids(tm),58,133,False,True,9.99
Assassins Creed(tm): Directors Cut Edition,79,4031,False,True,19.99
Tom Clancys Rainbow Six(r) Vegas 2,78,2133,False,True,9.99
Beyond Good and Evil(tm),0,1113,False,True,9.99
Petz(r) Horsez(r) 2,0,0,False,True,9.99
Heroes of Might & Magic V,77,772,False,True,9.99
Brothers in Arms: Road to Hill 30(tm),87,349,False,True,9.99
Silent Hunter(r): Wolves of the Pacific,79,199,False,True,9.99
Silent Hunter(r) III,90,382,False,True,9.99
Blazing Angels(r) 2: Secret Missions of WWII,72,0,False,True,9.99
Silent Hunter(r): Wolves of the Pacific U-Boat Missions,0,0,False,True,9.99
Cold Fear(tm),66,150,False,True,9.99
IL-2 Sturmovik: 1946,86,878,False,True,9.99
Tom Clancys Ghost Recon(r),80,327,False,True,9.99
The Settlers(r): Heritage of Kings,58,0,False,True,9.99
IL-2 Sturmovik: 1946,86,878,False,True,9.99
Brain Spa,0,0,False,True,9.99
Heroes of Might & Magic V: Tribes of the East,70,404,False,True,9.99
Heroes of Might & Magic V: Hammers of Fate,66,0,False,True,9.99
Brothers in Arms: Hells Highway(tm),79,485,False,True,9.99
Harvest: Massive Encounter,0,0,False,True,7.99
The Wonderful End of the World,0,467,False,True,9.99
AaAaAA!!! - A Reckless Disregard for Gravity,81,579,False,True,9.99
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),0,399,False,True,9.99
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,0,876,False,True,9.99
Warhammer(r) 40000(tm): Dawn of War(r) II,85,4541,False,True,19.99
Oddworld: Abes Oddysee(r),0,1539,False,True,2.99
Oddworld: Abes Exoddus(r),0,540,False,True,2.99
Oddworld: Munchs Oddysee,0,394,False,True,4.99
Oddworld: Strangers Wrath HD,0,615,False,True,9.99
Planet Busters,0,0,False,True,9.99
7 Wonders II,0,0,False,True,9.99
Luxor Amun Rising,0,0,False,True,9.99
Luxor 2,0,0,False,True,9.99
Luxor 3,0,0,False,True,9.99
Reaxxion,0,0,False,True,9.99
Little Farm,0,0,False,True,9.99
Luxor,0,0,False,True,9.99
Discovery! A Seek and Find Adventure,0,0,False,True,9.99
Samantha Swift and the Hidden Roses of Athena,0,0,False,True,9.99
7 Wonders: Treasures of Seven,0,0,False,True,9.99
Luxor: Quest for the Afterlife,0,0,False,True,9.99
Samantha Swift and the Golden Touch,0,0,False,True,9.99
Virtual Villagers: A New Home,0,0,False,True,9.99
Virtual Villagers: The Lost Children,0,0,False,True,9.99
Plant Tycoon,0,0,False,True,9.99
Fish Tycoon,0,0,False,True,9.99
Virtual Villagers - The Secret City,0,0,False,True,9.99
Virtual Families,0,0,False,True,9.99
Everyday Shooter,77,0,False,True,9.99
F.E.A.R. 2: Project Origin,79,2524,False,True,14.99
Chaos Theory,0,0,False,True,2.99
Trials 2: Second Edition,0,169,False,True,9.99
Monster Trucks Nitro,0,0,False,True,19.99
Insecticide Part 1,65,376,False,True,1.99
Velvet Assassin,61,1710,False,True,4.99
Legendary,50,1794,False,True,2.99
Sid Meiers Civilization IV: Colonization,83,255,False,True,19.99
Tribes: Ascend,86,7269,True,True,0.0
Children of the Nile: Enhanced Edition,75,129,False,True,7.99
Children of the Nile: Alexandria,0,0,False,True,2.49
Hinterland,65,115,False,True,9.99
Mosbys Confederacy,0,0,False,True,9.99
Crysis,91,3881,False,True,19.99
Crysis Warhead(r),84,1131,False,True,19.99
Crysis Warhead(r),84,1131,False,True,19.99
SPORE(tm),84,8853,False,True,19.99
Mirrors Edge(tm),81,14960,False,True,19.99
Need for Speed Undercover,65,1726,False,True,9.99
SPORE(tm) Creepy & Cute Parts Pack,0,308,False,True,19.99
Dragon Age: Origins,91,4146,False,True,19.99
Mass Effect,89,6793,False,True,19.99
Dead Space,86,5984,False,True,19.99
Command & Conquer: Red Alert 3,82,2511,False,True,19.99
Pirates Vikings and Knights II,0,2862,True,True,0.0
Dystopia,0,692,True,True,0.0
Nuclear Dawn,71,1706,False,True,9.99
Empires Mod,0,451,True,False,0.0
Precipice of Darkness Episode One,0,384,False,True,7.99
Precipice of Darkness Episode Two,0,121,False,True,7.99
DeathSpank,77,419,False,True,14.99
DeathSpank,77,419,False,True,14.99
DeathSpank: Thongs of Virtue,78,115,False,True,14.99
The Baconing,63,154,False,True,14.99
Unstoppable Gorg,73,187,False,True,9.99
Spectraball,0,330,False,True,4.99
Crazy Machines 2,72,168,False,True,24.99
Crazy Machines,78,0,False,True,9.99
Crazy Machines 1.5,78,0,False,True,9.99
Crazy Machines 1.5,78,0,False,True,9.99
Crazy Machines 1.5,78,0,False,True,9.99
Helldorado,65,0,False,True,9.99
Mata Hari,63,0,False,True,9.99
Defense Grid: The Awakening,81,2729,False,True,9.99
Mayhem Intergalactic,0,0,False,True,9.99
And Yet It Moves,75,938,False,True,9.99
Zero Gear,0,716,False,True,4.99
Silent Hill Homecoming,64,409,False,True,39.99
Puzzle Chronicles,0,0,False,True,9.99
Rocket Knight,63,0,False,True,14.99
Biozone,0,0,False,True,9.99
Tank Universal,0,377,False,True,4.99
Space Ark,0,0,False,True,4.99
Eternitys Child,0,0,False,True,4.99
Alice: Madness Returns,75,7107,False,True,0.0
Brothers in Arms: Earned in Blood(tm),84,154,False,True,9.99
The Sum of All Fears,72,0,False,True,9.99
Tom Clancys Rainbow Six(r) 3 Gold,85,556,False,True,9.99
Far Cry(r) 2: Fortunes Edition,85,4267,False,True,9.99
The Settlers(r): Rise Of An Empire Gold Edition,66,132,False,True,19.99
Prince of Persia(r),82,783,False,True,9.99
Galactic Bowling,0,0,False,True,19.99
Red Faction Guerrilla Steam Edition,82,5452,False,True,19.99
S.T.A.L.K.E.R.: Clear Sky,75,2701,False,True,9.99
Red Faction,78,945,False,True,9.99
Company of Heroes: Tales of Valor,70,1088,False,True,19.99
Red Faction II,64,446,False,True,9.99
Warhammer(r) 40000: Dawn of War(r) II Chaos Rising,85,1333,False,True,19.99
Starscape,0,0,False,True,9.99
Mr. Robot,83,0,False,True,9.99
Shatter,84,904,False,True,9.99
The Witcher: Enhanced Edition Directors Cut,86,15728,False,True,9.99
The Witcher 2: Assassins of Kings Enhanced Edition,88,25180,False,True,19.99
LEGO Batman,80,550,False,True,19.99
