gameid,gamename,gamehours
1642,Lume,4
1645,Camera Obscura,4
1646,Crazy Machines 2,4
1647,Epic Arena,4
1648,Fortix,4
1649,Coffin Dodgers,4
1650,GameGuru,4
1654,Krosmaster Arena,4
1654,Krosmaster Arena,4
1662,Galcon Legends,4
1664,Galcon Fusion,4
1665,Lakeview Cabin Collection,4
1666,Curse of Mermos,4
1668,Frozen Synapse Prime,4
1673,Eldritch,4
1674,Foul Play,4
1678,Bob Came in Pieces,4
1680,Sakura Angels,4
1681,Among Ripples,4
1683,PARTICLE MACE,4
1684,The Fall,4
1685,Runestone Keeper,4
1686,The Howler,4
1687,Painkiller Overdose,4
1688,The Last Federation,4
1689,Painkiller Redemption,4
1690,Rodina,4
1692,Robotex,4
1693,The Novelist,4
1694,The Old Tree,4
1695,Battle Battalions,4
1697,Aberoth,4
1699,Orbital Gear,4
1700,Nihilumbra,4
1701,The Cat Lady,4
1706,Worms Crazy Golf,4
1709,Temper Tantrum,4
1710,Borealis,4
1712,Obulis,4
1713,Serious Sam Double D XXL,4
1714,A Story About My Uncle,4
1715,Axiom Verge,4
1720,Wickland,4
1722,Rivals of Aether,4
1723,The Raven - Legacy of a Master Thief,4
1725,Velvet Assassin,4
1727,Vanguard Princess,4
1728,Rag Doll Kung Fu,4
1731,Ultratron,4
1732,Tomb Raider II,4
1734,Tower of Guns,4
1736,Quintet,4
1745,Titan Souls,4
1746,Vertiginous Golf,4
1747,Volgarr the Viking,4
1748,Risen 3 - Titan Lords,4
1749,Party of Sin,4
1750,The Room,4
1753,Perpetuum,4
1754,WORLD END ECONOMiCA episode.01,4
1756,The Treasures of Montezuma 4,4
1758,Plug & Play,4
1764,Tidalis,4
1765,Pox Nora,4
1766,Breach & Clear,4
1768,Trapped Dead,4
1769,iBomber Defense Pacific,4
1770,Zen Bound 2,4
1772,Survivalist,4
1773,Brilliant Bob,4
1775,4 Elements,4
1776,Skulls of the Shogun,4
1777,Anoxemia,4
1778,NEO Scavenger,4
1779,Monopoly,4
1781,Small World 2,4
1782,Spectraball,4
1783,Morphopolis,4
1784,Swipecart,4
1786,TDP5 Arena 3D,4
1788,Take On Mars,4
1791,X-Plane 10 Global - 64 Bit,4
1792,StarDrive 2,4
1794,Space Hack,4
1795,Nexuiz,4
1797,Street Fighter X Tekken,4
1798,Space Hulk Ascension,4
1799,Ziggurat,4
1800,Miscreated,4
1801,Super Sanctum TD,4
1803,Space Farmers,4
1804,Symphony,4
1808,Bejeweled 2 Deluxe,3
1810,Splice,3
1813,Super Amazing Wagon Adventure,3
1816,Genesis Rising,3
1817,Red Faction II,3
1818,Escape Goat,3
1819,Super House of Dead Ninjas,3
1821,Spartans Vs Zombies Defense,3
1823,Ether One,3
